[14:05:27] New Subprocess!
[14:07:34] DRLINFO B JJJHKIMMKKFDOO
[14:07:34] DRLINFO W JJJHKIMMKKFD
[14:07:34] DRLINFO B JJJHKIMMKKFDHF
[14:07:34] DRLINFO W JJJHKIMMKKFD
[14:07:34] DRLINFO B JJJHKIMMKKFDIG
[14:07:34] DRLINFO W JJJHKIMMKKFD
[14:07:34] DRLINFO B JJJHKIMMKKFDLL
[14:07:34] DRLINFO W JJJHKIMMKKFD
[14:07:34] DRLINFO B JJJHKIMMKKFDHH
[14:07:34] DRLINFO W JJJHKIMMKKFD
[14:07:34] DRLINFO B JJJHKIMMKKFDMK
[14:07:34] DRLINFO W JJJHKIMMKKFD
[14:07:34] DRLINFO B JJJHKIMMKKFDNN
[14:07:34] DRLINFO B JJJHKIMMKKFDNNIG
[14:07:34] DRLINFO W JJJHKIMMKKFD
[14:07:34] DRLINFO B JJJHKIMMKKFDII
[14:07:34] DRLINFO B JJJHKIMMKKFDIIEE
[14:07:34] DRLINFO W JJJHKIMMKKFD
[14:07:35] DRLINFO B JJJHKIMMKKFDGE
[14:07:35] DRLINFO B JJJHKIMMKKFDGEIG
[14:07:35] DRLINFO W JJJHKIMMKKFD
[14:07:35] DRLINFO B JJJHKIMMKKFDHF
[14:07:35] DRLINFO B JJJHKIMMKKFDHFIG
[14:07:35] DRLINFO W JJJHKIMMKKFD
[14:07:35] DRLINFO B JJJHKIMMKKFDOO
[14:07:35] DRLINFO B JJJHKIMMKKFDOOIG
[14:07:35] DRLINFO W JJJHKIMMKKFD
[14:07:35] DRLINFO B JJJHKIMMKKFDIG
[14:07:35] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:35] DRLINFO W JJJHKIMMKKFD
[14:07:35] DRLINFO B JJJHKIMMKKFDHH
[14:07:35] DRLINFO B JJJHKIMMKKFDHHEE
[14:07:35] DRLINFO W JJJHKIMMKKFD
[14:07:35] DRLINFO B JJJHKIMMKKFDLL
[14:07:35] DRLINFO B JJJHKIMMKKFDLLLJ
[14:07:35] DRLINFO W JJJHKIMMKKFD
[14:07:35] DRLINFO B JJJHKIMMKKFDNN
[14:07:35] DRLINFO B JJJHKIMMKKFDNNHH
[14:07:35] DRLINFO W JJJHKIMMKKFD
[14:07:35] DRLINFO B JJJHKIMMKKFDII
[14:07:35] DRLINFO B JJJHKIMMKKFDIIPP
[14:07:35] DRLINFO W JJJHKIMMKKFD
[14:07:35] DRLINFO B JJJHKIMMKKFDGE
[14:07:35] DRLINFO B JJJHKIMMKKFDGEHF
[14:07:35] DRLINFO W JJJHKIMMKKFD
[14:07:35] DRLINFO B JJJHKIMMKKFDOO
[14:07:35] DRLINFO B JJJHKIMMKKFDOONN
[14:07:35] DRLINFO W JJJHKIMMKKFD
[14:07:35] DRLINFO B JJJHKIMMKKFDHF
[14:07:35] DRLINFO B JJJHKIMMKKFDHFGE
[14:07:35] DRLINFO W JJJHKIMMKKLL
[14:07:35] DRLINFO B JJJHKIMMKKLLNL
[14:07:35] DRLINFO W JJJHKIMMKKOM
[14:07:35] DRLINFO B JJJHKIMMKKOMNL
[14:07:36] DRLINFO W JJJHKIMMKKOM
[14:07:36] DRLINFO B JJJHKIMMKKOMII
[14:07:36] DRLINFO W JJJHKIMMKKOM
[14:07:36] DRLINFO B JJJHKIMMKKOMGE
[14:07:36] DRLINFO W JJJHKIMMKKOM
[14:07:36] DRLINFO B JJJHKIMMKKOMLJ
[14:07:36] DRLINFO W JJJHKIMMKKOM
[14:07:36] DRLINFO B JJJHKIMMKKOMNN
[14:07:36] DRLINFO W JJJHKIMMKKOM
[14:07:36] DRLINFO B JJJHKIMMKKOMOO
[14:07:36] DRLINFO W JJJHKIMMKKOM
[14:07:36] DRLINFO B JJJHKIMMKKOMHF
[14:07:36] DRLINFO W JJJHKIMMKKOM
[14:07:36] DRLINFO B JJJHKIMMKKOMLL
[14:07:36] DRLINFO W JJJHKIMMKKOM
[14:07:36] DRLINFO B JJJHKIMMKKOMIG
[14:07:36] DRLINFO W JJJHKIMMKKOM
[14:07:37] DRLINFO B JJJHKIMMKKOMMK
[14:07:39] cpp time out: 2.0644774436950684
[14:07:39] DRLINFO W JJJHKIMMKKFD
[14:07:39] DRLINFO B JJJHKIMMKKFDHH
[14:07:39] DRLINFO B JJJHKIMMKKFDHHAA
[14:07:39] DRLINFO B JJJHKIMMKKFDIG
[14:07:39] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:39] DRLINFO B JJJHKIMMKKFDLL
[14:07:39] DRLINFO B JJJHKIMMKKFDLLIG
[14:07:39] DRLINFO B JJJHKIMMKKFDNN
[14:07:39] DRLINFO B JJJHKIMMKKFDNNII
[14:07:39] DRLINFO B JJJHKIMMKKFDII
[14:07:39] DRLINFO B JJJHKIMMKKFDIIOO
[14:07:39] DRLINFO B JJJHKIMMKKFDGE
[14:07:39] DRLINFO B JJJHKIMMKKFDGEHF
[14:07:39] DRLINFO W JJJHKIMMKKFDGEHFNN
[14:07:39] DRLINFO B JJJHKIMMKKFDOO
[14:07:39] DRLINFO B JJJHKIMMKKFDOOHH
[14:07:39] DRLINFO B JJJHKIMMKKFDHF
[14:07:39] DRLINFO B JJJHKIMMKKFDHFGE
[14:07:39] DRLINFO W JJJHKIMMKKFDHFGEMK
[14:07:39] DRLINFO B JJJHKIMMKKFDHH
[14:07:39] DRLINFO B JJJHKIMMKKFDHHOO
[14:07:39] DRLINFO B JJJHKIMMKKFDIG
[14:07:39] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:39] DRLINFO W JJJHKIMMKKFDIGGEMK
[14:07:39] DRLINFO B JJJHKIMMKKFDLL
[14:07:39] DRLINFO B JJJHKIMMKKFDLLGE
[14:07:39] DRLINFO B JJJHKIMMKKFDNN
[14:07:39] DRLINFO B JJJHKIMMKKFDNNLJ
[14:07:39] DRLINFO B JJJHKIMMKKFDII
[14:07:39] DRLINFO B JJJHKIMMKKFDIIAA
[14:07:39] DRLINFO B JJJHKIMMKKFDGE
[14:07:39] DRLINFO B JJJHKIMMKKFDGEIG
[14:07:39] DRLINFO W JJJHKIMMKKFDGEIGII
[14:07:40] DRLINFO B JJJHKIMMKKFDHF
[14:07:40] DRLINFO B JJJHKIMMKKFDHFIG
[14:07:40] DRLINFO W JJJHKIMMKKFDHFIGNN
[14:07:40] DRLINFO B JJJHKIMMKKFDOO
[14:07:40] DRLINFO B JJJHKIMMKKFDOOII
[14:07:40] DRLINFO B JJJHKIMMKKFDIG
[14:07:40] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:40] DRLINFO W JJJHKIMMKKFDIGHFNN
[14:07:40] DRLINFO B JJJHKIMMKKFDHH
[14:07:40] DRLINFO B JJJHKIMMKKFDHHDD
[14:07:40] DRLINFO B JJJHKIMMKKFDLL
[14:07:40] DRLINFO B JJJHKIMMKKFDLLHF
[14:07:40] DRLINFO B JJJHKIMMKKFDII
[14:07:40] DRLINFO B JJJHKIMMKKFDIINN
[14:07:40] DRLINFO B JJJHKIMMKKFDNN
[14:07:40] DRLINFO B JJJHKIMMKKFDNNGE
[14:07:40] DRLINFO B JJJHKIMMKKFDGE
[14:07:40] DRLINFO B JJJHKIMMKKFDGEIG
[14:07:40] DRLINFO W JJJHKIMMKKFDGEIGNN
[14:07:40] DRLINFO B JJJHKIMMKKFDHF
[14:07:40] DRLINFO B JJJHKIMMKKFDHFGE
[14:07:40] DRLINFO W JJJHKIMMKKFDHFGENL
[14:07:40] DRLINFO B JJJHKIMMKKFDOO
[14:07:40] DRLINFO B JJJHKIMMKKFDOOLJ
[14:07:40] DRLINFO B JJJHKIMMKKFDLL
[14:07:40] DRLINFO B JJJHKIMMKKFDLLMK
[14:07:40] DRLINFO B JJJHKIMMKKFDHH
[14:07:40] DRLINFO B JJJHKIMMKKFDHHKH
[14:07:40] DRLINFO B JJJHKIMMKKFDIG
[14:07:40] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:40] DRLINFO W JJJHKIMMKKFDIGGENN
[14:07:40] DRLINFO B JJJHKIMMKKFDII
[14:07:40] DRLINFO B JJJHKIMMKKFDIIDD
[14:07:40] DRLINFO B JJJHKIMMKKFDNN
[14:07:40] DRLINFO B JJJHKIMMKKFDNNHF
[14:07:41] DRLINFO B JJJHKIMMKKFDGE
[14:07:41] DRLINFO B JJJHKIMMKKFDGEHF
[14:07:41] DRLINFO W JJJHKIMMKKFDGEHFII
[14:07:41] DRLINFO B JJJHKIMMKKFDHF
[14:07:41] DRLINFO B JJJHKIMMKKFDHFIG
[14:07:41] DRLINFO W JJJHKIMMKKFDHFIGII
[14:07:41] DRLINFO B JJJHKIMMKKFDOO
[14:07:41] DRLINFO B JJJHKIMMKKFDOOHF
[14:07:41] DRLINFO B JJJHKIMMKKFDIG
[14:07:41] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:41] DRLINFO W JJJHKIMMKKFDIGGENL
[14:07:41] DRLINFO B JJJHKIMMKKFDLL
[14:07:41] DRLINFO B JJJHKIMMKKFDLLHF
[14:07:41] DRLINFO W JJJHKIMMKKFDLLHFRR
[14:07:41] DRLINFO B JJJHKIMMKKFDHH
[14:07:41] DRLINFO B JJJHKIMMKKFDHHLJ
[14:07:41] DRLINFO B JJJHKIMMKKFDNN
[14:07:41] DRLINFO B JJJHKIMMKKFDNNLL
[14:07:41] DRLINFO B JJJHKIMMKKFDII
[14:07:41] DRLINFO B JJJHKIMMKKFDIIGE
[14:07:41] DRLINFO B JJJHKIMMKKFDHF
[14:07:41] DRLINFO B JJJHKIMMKKFDHFGE
[14:07:41] DRLINFO W JJJHKIMMKKFDHFGEOM
[14:07:41] DRLINFO B JJJHKIMMKKFDGE
[14:07:41] DRLINFO B JJJHKIMMKKFDGEIG
[14:07:41] DRLINFO W JJJHKIMMKKFDGEIGOO
[14:07:41] DRLINFO B JJJHKIMMKKFDLL
[14:07:41] DRLINFO B JJJHKIMMKKFDLLGE
[14:07:41] DRLINFO W JJJHKIMMKKFDLLGEMK
[14:07:41] DRLINFO B JJJHKIMMKKFDIG
[14:07:41] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:41] DRLINFO W JJJHKIMMKKFDIGHFOO
[14:07:41] DRLINFO B JJJHKIMMKKFDOO
[14:07:41] DRLINFO B JJJHKIMMKKFDOOGE
[14:07:41] DRLINFO B JJJHKIMMKKFDHF
[14:07:41] DRLINFO B JJJHKIMMKKFDHFIG
[14:07:42] DRLINFO W JJJHKIMMKKFDHFIGOO
[14:07:42] DRLINFO B JJJHKIMMKKFDLL
[14:07:42] DRLINFO B JJJHKIMMKKFDLLIG
[14:07:42] DRLINFO W JJJHKIMMKKFDLLIGRR
[14:07:42] DRLINFO B JJJHKIMMKKFDGE
[14:07:42] DRLINFO B JJJHKIMMKKFDGEIG
[14:07:42] DRLINFO W JJJHKIMMKKFDGEIGLL
[14:07:42] DRLINFO B JJJHKIMMKKFDII
[14:07:42] DRLINFO B JJJHKIMMKKFDIILJ
[14:07:42] DRLINFO B JJJHKIMMKKFDNN
[14:07:42] DRLINFO B JJJHKIMMKKFDNNMK
[14:07:42] DRLINFO B JJJHKIMMKKFDHH
[14:07:42] DRLINFO B JJJHKIMMKKFDHHNN
[14:07:42] DRLINFO B JJJHKIMMKKFDHF
[14:07:42] DRLINFO B JJJHKIMMKKFDHFGE
[14:07:42] DRLINFO W JJJHKIMMKKFDHFGENN
[14:07:42] DRLINFO B JJJHKIMMKKFDLL
[14:07:42] DRLINFO B JJJHKIMMKKFDLLMK
[14:07:42] DRLINFO W JJJHKIMMKKFDLLMKMO
[14:07:42] DRLINFO B JJJHKIMMKKFDGE
[14:07:42] DRLINFO B JJJHKIMMKKFDGEHF
[14:07:42] DRLINFO W JJJHKIMMKKFDGEHFOO
[14:07:42] DRLINFO B JJJHKIMMKKFDIG
[14:07:42] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:42] DRLINFO W JJJHKIMMKKFDIGGELJ
[14:07:42] DRLINFO B JJJHKIMMKKFDOO
[14:07:42] DRLINFO B JJJHKIMMKKFDOOLL
[14:07:42] DRLINFO B JJJHKIMMKKFDLL
[14:07:42] DRLINFO B JJJHKIMMKKFDLLLJ
[14:07:42] DRLINFO W JJJHKIMMKKFDLLLJHJ
[14:07:42] DRLINFO B JJJHKIMMKKFDII
[14:07:42] DRLINFO B JJJHKIMMKKFDIIJI
[14:07:42] DRLINFO B JJJHKIMMKKFDNN
[14:07:42] DRLINFO B JJJHKIMMKKFDNNHH
[14:07:42] DRLINFO W JJJHKIMMKKFDNNHHGE
[14:07:43] DRLINFO B JJJHKIMMKKFDHF
[14:07:43] DRLINFO B JJJHKIMMKKFDHFIG
[14:07:43] DRLINFO W JJJHKIMMKKFDHFIGLL
[14:07:43] DRLINFO B JJJHKIMMKKFDHH
[14:07:43] DRLINFO B JJJHKIMMKKFDHHIG
[14:07:43] DRLINFO B JJJHKIMMKKFDLL
[14:07:43] DRLINFO B JJJHKIMMKKFDLLMK
[14:07:43] DRLINFO W JJJHKIMMKKFDLLMKJK
[14:07:43] DRLINFO B JJJHKIMMKKFDGE
[14:07:43] DRLINFO B JJJHKIMMKKFDGEIG
[14:07:43] DRLINFO W JJJHKIMMKKFDGEIGHH
[14:07:43] DRLINFO B JJJHKIMMKKFDHF
[14:07:43] DRLINFO B JJJHKIMMKKFDHFIG
[14:07:43] DRLINFO W JJJHKIMMKKFDHFIGHH
[14:07:43] DRLINFO B JJJHKIMMKKFDLL
[14:07:43] DRLINFO B JJJHKIMMKKFDLLGE
[14:07:43] DRLINFO W JJJHKIMMKKFDLLGEOM
[14:07:43] DRLINFO B JJJHKIMMKKFDIG
[14:07:43] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:43] DRLINFO W JJJHKIMMKKFDIGHFLL
[14:07:43] DRLINFO B JJJHKIMMKKFDNN
[14:07:43] DRLINFO B JJJHKIMMKKFDNNII
[14:07:43] DRLINFO W JJJHKIMMKKFDNNIIMK
[14:07:43] DRLINFO B JJJHKIMMKKFDOO
[14:07:43] DRLINFO B JJJHKIMMKKFDOOMK
[14:07:43] DRLINFO B JJJHKIMMKKFDLL
[14:07:43] DRLINFO B JJJHKIMMKKFDLLLJ
[14:07:43] DRLINFO W JJJHKIMMKKFDLLLJGO
[14:07:43] DRLINFO B JJJHKIMMKKFDII
[14:07:43] DRLINFO B JJJHKIMMKKFDIIIG
[14:07:43] DRLINFO B JJJHKIMMKKFDGE
[14:07:43] DRLINFO B JJJHKIMMKKFDGEIG
[14:07:43] DRLINFO W JJJHKIMMKKFDGEIGII
[14:07:43] DRLINFO W JJJHKIMMKKFDGEIGIILL
[14:07:43] DRLINFO B JJJHKIMMKKFDHF
[14:07:43] DRLINFO B JJJHKIMMKKFDHFGE
[14:07:43] DRLINFO W JJJHKIMMKKFDHFGEII
[14:07:44] DRLINFO B JJJHKIMMKKFDHH
[14:07:44] DRLINFO B JJJHKIMMKKFDHHGE
[14:07:44] DRLINFO B JJJHKIMMKKFDNN
[14:07:44] DRLINFO B JJJHKIMMKKFDNNIG
[14:07:44] DRLINFO W JJJHKIMMKKFDNNIGII
[14:07:44] DRLINFO B JJJHKIMMKKFDOO
[14:07:44] DRLINFO B JJJHKIMMKKFDOOFF
[14:07:44] DRLINFO B JJJHKIMMKKFDLL
[14:07:44] DRLINFO B JJJHKIMMKKFDLLIG
[14:07:44] DRLINFO W JJJHKIMMKKFDLLIGNN
[14:07:44] DRLINFO B JJJHKIMMKKFDGE
[14:07:44] DRLINFO B JJJHKIMMKKFDGEHF
[14:07:44] DRLINFO W JJJHKIMMKKFDGEHFLL
[14:07:44] DRLINFO B JJJHKIMMKKFDIG
[14:07:44] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:44] DRLINFO W JJJHKIMMKKFDIGGEII
[14:07:44] DRLINFO B JJJHKIMMKKFDII
[14:07:44] DRLINFO B JJJHKIMMKKFDIIHF
[14:07:44] DRLINFO B JJJHKIMMKKFDHF
[14:07:44] DRLINFO B JJJHKIMMKKFDHFIG
[14:07:44] DRLINFO W JJJHKIMMKKFDHFIGNN
[14:07:44] DRLINFO W JJJHKIMMKKFDHFIGNNLL
[14:07:44] DRLINFO B JJJHKIMMKKFDLL
[14:07:44] DRLINFO B JJJHKIMMKKFDLLHF
[14:07:44] DRLINFO W JJJHKIMMKKFDLLHFNN
[14:07:44] DRLINFO B JJJHKIMMKKFDNN
[14:07:44] DRLINFO B JJJHKIMMKKFDNNGE
[14:07:44] DRLINFO W JJJHKIMMKKFDNNGEMK
[14:07:44] DRLINFO B JJJHKIMMKKFDHH
[14:07:44] DRLINFO B JJJHKIMMKKFDHHII
[14:07:44] DRLINFO B JJJHKIMMKKFDGE
[14:07:44] DRLINFO B JJJHKIMMKKFDGEIG
[14:07:44] DRLINFO W JJJHKIMMKKFDGEIGNN
[14:07:44] DRLINFO W JJJHKIMMKKFDGEIGNNLL
[14:07:44] DRLINFO B JJJHKIMMKKFDOO
[14:07:44] DRLINFO B JJJHKIMMKKFDOOGG
[14:07:45] DRLINFO B JJJHKIMMKKFDIG
[14:07:45] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:45] DRLINFO W JJJHKIMMKKFDIGHFII
[14:07:45] DRLINFO B JJJHKIMMKKFDLL
[14:07:45] DRLINFO B JJJHKIMMKKFDLLMK
[14:07:45] DRLINFO W JJJHKIMMKKFDLLMKNK
[14:07:45] DRLINFO B JJJHKIMMKKFDII
[14:07:45] DRLINFO B JJJHKIMMKKFDIIHH
[14:07:45] DRLINFO B JJJHKIMMKKFDNN
[14:07:45] DRLINFO B JJJHKIMMKKFDNNHF
[14:07:45] DRLINFO W JJJHKIMMKKFDNNHFII
[14:07:45] DRLINFO B JJJHKIMMKKFDLL
[14:07:45] DRLINFO B JJJHKIMMKKFDLLGE
[14:07:45] DRLINFO W JJJHKIMMKKFDLLGENL
[14:07:45] DRLINFO B JJJHKIMMKKFDHF
[14:07:45] DRLINFO B JJJHKIMMKKFDHFGE
[14:07:45] DRLINFO W JJJHKIMMKKFDHFGELJ
[14:07:45] DRLINFO B JJJHKIMMKKFDLL
[14:07:45] DRLINFO B JJJHKIMMKKFDLLIG
[14:07:45] DRLINFO W JJJHKIMMKKFDLLIGFF
[14:07:45] DRLINFO B JJJHKIMMKKFDOO
[14:07:45] DRLINFO B JJJHKIMMKKFDOOMK
[14:07:45] DRLINFO W JJJHKIMMKKFDOOMKII
[14:07:45] DRLINFO B JJJHKIMMKKFDHH
[14:07:45] DRLINFO B JJJHKIMMKKFDHHGH
[14:07:45] DRLINFO B JJJHKIMMKKFDIG
[14:07:45] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:45] DRLINFO W JJJHKIMMKKFDIGGEOO
[14:07:45] DRLINFO B JJJHKIMMKKFDGE
[14:07:45] DRLINFO B JJJHKIMMKKFDGEHF
[14:07:45] DRLINFO W JJJHKIMMKKFDGEHFHH
[14:07:45] DRLINFO B JJJHKIMMKKFDLL
[14:07:45] DRLINFO B JJJHKIMMKKFDLLMK
[14:07:45] DRLINFO W JJJHKIMMKKFDLLMKHK
[14:07:45] DRLINFO B JJJHKIMMKKFDNN
[14:07:45] DRLINFO B JJJHKIMMKKFDNNLL
[14:07:46] DRLINFO W JJJHKIMMKKFDNNLLII
[14:07:46] DRLINFO B JJJHKIMMKKFDII
[14:07:46] DRLINFO B JJJHKIMMKKFDIIQQ
[14:07:46] DRLINFO B JJJHKIMMKKFDHF
[14:07:46] DRLINFO B JJJHKIMMKKFDHFIG
[14:07:46] DRLINFO W JJJHKIMMKKFDHFIGII
[14:07:46] DRLINFO W JJJHKIMMKKFDHFIGIILL
[14:07:46] DRLINFO B JJJHKIMMKKFDOO
[14:07:46] DRLINFO B JJJHKIMMKKFDOONN
[14:07:46] DRLINFO W JJJHKIMMKKFDOONNII
[14:07:46] DRLINFO B JJJHKIMMKKFDLL
[14:07:46] DRLINFO B JJJHKIMMKKFDLLLJ
[14:07:46] DRLINFO W JJJHKIMMKKFDLLLJOJ
[14:07:46] DRLINFO B JJJHKIMMKKFDHF
[14:07:46] DRLINFO B JJJHKIMMKKFDHFGE
[14:07:46] DRLINFO W JJJHKIMMKKFDHFGEOO
[14:07:46] DRLINFO B JJJHKIMMKKFDIG
[14:07:46] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:46] DRLINFO W JJJHKIMMKKFDIGGELL
[14:07:46] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:46] DRLINFO W JJJHKIMMKKFDIGHFHH
[14:07:46] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:46] DRLINFO W JJJHKIMMKKFDIGGEHH
[14:07:46] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:46] DRLINFO W JJJHKIMMKKFDIGGEHF
[14:07:46] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:46] DRLINFO W JJJHKIMMKKFDIGHFNN
[14:07:46] DRLINFO W JJJHKIMMKKFDIGHFNNLL
[14:07:46] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:46] DRLINFO W JJJHKIMMKKFDIGGELJ
[14:07:46] DRLINFO W JJJHKIMMKKFDIGGELJOO
[14:07:46] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:46] DRLINFO W JJJHKIMMKKFDIGHFII
[14:07:46] DRLINFO W JJJHKIMMKKFDIGHFIILL
[14:07:46] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:46] DRLINFO W JJJHKIMMKKFDIGHFLL
[14:07:47] DRLINFO W JJJHKIMMKKFDIGHFLLNN
[14:07:47] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:47] DRLINFO W JJJHKIMMKKFDIGGEMK
[14:07:47] DRLINFO W JJJHKIMMKKFDIGGEMKNK
[14:07:47] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:47] DRLINFO W JJJHKIMMKKFDIGHFOO
[14:07:47] DRLINFO W JJJHKIMMKKFDIGHFOONN
[14:07:47] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:47] DRLINFO W JJJHKIMMKKFDIGHFHH
[14:07:47] DRLINFO W JJJHKIMMKKFDIGHFHHII
[14:07:47] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:47] DRLINFO W JJJHKIMMKKFDIGGENL
[14:07:47] DRLINFO W JJJHKIMMKKFDIGGENLNN
[14:07:47] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:47] DRLINFO W JJJHKIMMKKFDIGHFNN
[14:07:47] DRLINFO W JJJHKIMMKKFDIGHFNNLL
[14:07:47] DRLINFO B JJJHKIMMKKFDIGHFNNLLNL
[14:07:47] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:47] DRLINFO W JJJHKIMMKKFDIGGENN
[14:07:47] DRLINFO W JJJHKIMMKKFDIGGENNLL
[14:07:47] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:47] DRLINFO W JJJHKIMMKKFDIGHFOO
[14:07:47] DRLINFO W JJJHKIMMKKFDIGHFOOLL
[14:07:47] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:47] DRLINFO W JJJHKIMMKKFDIGHFLL
[14:07:47] DRLINFO W JJJHKIMMKKFDIGHFLLOO
[14:07:47] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:47] DRLINFO W JJJHKIMMKKFDIGHFII
[14:07:47] DRLINFO W JJJHKIMMKKFDIGHFIILL
[14:07:47] DRLINFO B JJJHKIMMKKFDIGHFIILLNL
[14:07:47] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:47] DRLINFO W JJJHKIMMKKFDIGGEII
[14:07:47] DRLINFO W JJJHKIMMKKFDIGGEIILL
[14:07:47] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:47] DRLINFO W JJJHKIMMKKFDIGGEHF
[14:07:47] DRLINFO W JJJHKIMMKKFDIGGEHFNN
[14:07:48] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:48] DRLINFO W JJJHKIMMKKFDIGGEHH
[14:07:48] DRLINFO W JJJHKIMMKKFDIGGEHHII
[14:07:48] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:48] DRLINFO W JJJHKIMMKKFDIGHFNN
[14:07:48] DRLINFO W JJJHKIMMKKFDIGHFNNLL
[14:07:48] DRLINFO B JJJHKIMMKKFDIGHFNNLLLJ
[14:07:48] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:48] DRLINFO W JJJHKIMMKKFDIGGEOO
[14:07:48] DRLINFO W JJJHKIMMKKFDIGGEOONN
[14:07:48] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:48] DRLINFO W JJJHKIMMKKFDIGHFHH
[14:07:48] DRLINFO W JJJHKIMMKKFDIGHFHHLL
[14:07:48] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:48] DRLINFO W JJJHKIMMKKFDIGHFII
[14:07:48] DRLINFO W JJJHKIMMKKFDIGHFIILL
[14:07:48] DRLINFO B JJJHKIMMKKFDIGHFIILLLJ
[14:07:48] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:48] DRLINFO W JJJHKIMMKKFDIGGELL
[14:07:48] DRLINFO W JJJHKIMMKKFDIGGELLOO
[14:07:48] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:48] DRLINFO W JJJHKIMMKKFDIGHFNN
[14:07:48] DRLINFO W JJJHKIMMKKFDIGHFNNLL
[14:07:48] DRLINFO B JJJHKIMMKKFDIGHFNNLLMK
[14:07:48] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:48] DRLINFO W JJJHKIMMKKFDIGGEMK
[14:07:48] DRLINFO W JJJHKIMMKKFDIGGEMKMJ
[14:07:48] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:48] DRLINFO W JJJHKIMMKKFDIGHFLL
[14:07:48] DRLINFO W JJJHKIMMKKFDIGHFLLHH
[14:07:48] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:48] DRLINFO W JJJHKIMMKKFDIGGELJ
[14:07:48] DRLINFO W JJJHKIMMKKFDIGGELJJL
[14:07:48] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:48] DRLINFO W JJJHKIMMKKFDIGHFOO
[14:07:48] DRLINFO W JJJHKIMMKKFDIGHFOONN
[14:07:48] DRLINFO B JJJHKIMMKKFDIGHFOONNNL
[14:07:49] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:49] DRLINFO W JJJHKIMMKKFDIGHFHH
[14:07:49] DRLINFO W JJJHKIMMKKFDIGHFHHII
[14:07:49] DRLINFO B JJJHKIMMKKFDIGHFHHIINL
[14:07:49] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:49] DRLINFO W JJJHKIMMKKFDIGHFNN
[14:07:49] DRLINFO W JJJHKIMMKKFDIGHFNNLL
[14:07:49] DRLINFO B JJJHKIMMKKFDIGHFNNLLLJ
[14:07:49] DRLINFO B JJJHKIMMKKFDIGHFNNLLLJNL
[14:07:49] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:49] DRLINFO W JJJHKIMMKKFDIGHFII
[14:07:49] DRLINFO W JJJHKIMMKKFDIGHFIILL
[14:07:49] DRLINFO B JJJHKIMMKKFDIGHFIILLMK
[14:07:49] DRLINFO B JJJHKIMMKKFDIGGE
[14:07:49] DRLINFO W JJJHKIMMKKFDIGGENN
[14:07:49] DRLINFO W JJJHKIMMKKFDIGGENNLL
[14:07:49] DRLINFO B JJJHKIMMKKFDIGGENNLLNL
[14:07:49] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:49] DRLINFO W JJJHKIMMKKFDIGHFLL
[14:07:49] DRLINFO W JJJHKIMMKKFDIGHFLLII
[14:07:49] DRLINFO B JJJHKIMMKKFDIGHF
[14:07:49] DRLINFO W JJJHKIMMKKFDIGHFNN
